"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33","Проверка создания заметки с невалидным токеном авторизации","chromium","Mon Jul 14 17:19:13 GMT 2025","passed","Mon Jul 14 17:19:13 GMT 2025","Challenge","api/challenges.spec.js","",""
"","40","Проверка требуемых атрибутов задачи в теле ответа","chromium","Mon Jul 14 17:19:12 GMT 2025","passed","Mon Jul 14 17:19:12 GMT 2025","Challenge","api/challenges.spec.js","",""
"","4714","Баг с фильтрацией по цене","chromium","Mon Jul 14 17:19:46 GMT 2025","passed","Mon Jul 14 17:19:51 GMT 2025","","ui/academybag.spec.js","",""
"","45","Проверка, что ответе возвращается 10 задач","chromium","Mon Jul 14 17:19:12 GMT 2025","passed","Mon Jul 14 17:19:12 GMT 2025","Challenge","api/challenges.spec.js","",""
"","37","Проверка получения задачи по id","chromium","Mon Jul 14 17:19:12 GMT 2025","passed","Mon Jul 14 17:19:12 GMT 2025","Challenge","api/challenges.spec.js","",""
"","45","Проверка фильтрации по статусу выполнения задачи через query-параметры","chromium","Mon Jul 14 17:19:12 GMT 2025","passed","Mon Jul 14 17:19:12 GMT 2025","Challenge","api/challenges.spec.js","",""
"","65","Проверка создания заметки","chromium","Mon Jul 14 17:19:13 GMT 2025","passed","Mon Jul 14 17:19:13 GMT 2025","Challenge","api/challenges.spec.js","",""
"","34","Проверка получения несуществующей задачи по id","chromium","Mon Jul 14 17:19:12 GMT 2025","passed","Mon Jul 14 17:19:12 GMT 2025","Challenge","api/challenges.spec.js","",""
"","39","Проверка создания задачи методом PUT","chromium","Mon Jul 14 17:19:12 GMT 2025","passed","Mon Jul 14 17:19:13 GMT 2025","Challenge","api/challenges.spec.js","",""
"","36","Проверка создания задачи с телом, превышающим 5000 символов","chromium","Mon Jul 14 17:19:12 GMT 2025","passed","Mon Jul 14 17:19:12 GMT 2025","Challenge","api/challenges.spec.js","",""
"","35","Проверка обновления задачи без обязательного атрибута title","chromium","Mon Jul 14 17:19:13 GMT 2025","passed","Mon Jul 14 17:19:13 GMT 2025","Challenge","api/challenges.spec.js","",""
"","40","Проверка создания задачи","chromium","Mon Jul 14 17:19:12 GMT 2025","passed","Mon Jul 14 17:19:12 GMT 2025","Challenge","api/challenges.spec.js","",""
"","12237","Баг с отправкой комментария в карточке товара","chromium","Mon Jul 14 17:19:30 GMT 2025","passed","Mon Jul 14 17:19:42 GMT 2025","","ui/academybag.spec.js","",""
"","35","Проверка полного обновления задачи","chromium","Mon Jul 14 17:19:13 GMT 2025","passed","Mon Jul 14 17:19:13 GMT 2025","Challenge","api/challenges.spec.js","",""
"","33","Проверка удаления несуществующей задачи по id","chromium","Mon Jul 14 17:19:13 GMT 2025","passed","Mon Jul 14 17:19:13 GMT 2025","Challenge","api/challenges.spec.js","",""
"","37","Проверка обновления задачи с несовпадающими id","chromium","Mon Jul 14 17:19:13 GMT 2025","passed","Mon Jul 14 17:19:13 GMT 2025","Challenge","api/challenges.spec.js","",""
"","34","Проверка создания заметки без токена авторизации","chromium","Mon Jul 14 17:19:13 GMT 2025","passed","Mon Jul 14 17:19:13 GMT 2025","Challenge","api/challenges.spec.js","",""
"","32","Проверка аутентификации с валидным логином/паролем","chromium","Mon Jul 14 17:19:13 GMT 2025","passed","Mon Jul 14 17:19:13 GMT 2025","Challenge","api/challenges.spec.js","",""
"","3598","Баг с некорректным описанием товара","chromium","Mon Jul 14 17:19:42 GMT 2025","passed","Mon Jul 14 17:19:46 GMT 2025","","ui/academybag.spec.js","",""
