"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","74","Проверка получения задачи по id","chromium","Fri Jul 18 20:17:18 GMT 2025","passed","Fri Jul 18 20:17:18 GMT 2025","Challenge","api/challenges.spec.js","",""
"","70","Проверка создания задачи с телом, превышающим 5000 символов","chromium","Fri Jul 18 20:17:19 GMT 2025","passed","Fri Jul 18 20:17:19 GMT 2025","Challenge","api/challenges.spec.js","",""
"","68","Проверка удаления задачи по id","chromium","Fri Jul 18 20:17:19 GMT 2025","passed","Fri Jul 18 20:17:20 GMT 2025","Challenge","api/challenges.spec.js","",""
"","71","Проверка обновления задачи с несовпадающими id","chromium","Fri Jul 18 20:17:19 GMT 2025","passed","Fri Jul 18 20:17:19 GMT 2025","Challenge","api/challenges.spec.js","",""
"","72","Проверка создания задачи с невалидным doneStatus","chromium","Fri Jul 18 20:17:19 GMT 2025","passed","Fri Jul 18 20:17:19 GMT 2025","Challenge","api/challenges.spec.js","",""
"","69","Проверка создания задачи с невалидным по длине description","chromium","Fri Jul 18 20:17:19 GMT 2025","passed","Fri Jul 18 20:17:19 GMT 2025","Challenge","api/challenges.spec.js","",""
"","75","Проверка требуемых атрибутов задачи в теле ответа","chromium","Fri Jul 18 20:17:18 GMT 2025","passed","Fri Jul 18 20:17:18 GMT 2025","Challenge","api/challenges.spec.js","",""
"","99","Проверка, что ответе возвращается 10 задач","chromium","Fri Jul 18 20:17:18 GMT 2025","passed","Fri Jul 18 20:17:18 GMT 2025","Challenge","api/challenges.spec.js","",""
"","66","Проверка обращения к эндпоинту PATCH /heartbeat","chromium","Fri Jul 18 20:17:20 GMT 2025","passed","Fri Jul 18 20:17:20 GMT 2025","Challenge","api/challenges.spec.js","",""
"","4564","Баг с фильтрацией по цене","chromium","Fri Jul 18 20:17:52 GMT 2025","passed","Fri Jul 18 20:17:56 GMT 2025","","ui/academybag.spec.js","",""
"","70","Проверка фильтрации по id через query-параметры","chromium","Fri Jul 18 20:17:18 GMT 2025","passed","Fri Jul 18 20:17:18 GMT 2025","Challenge","api/challenges.spec.js","",""
"","3642","Баг с размером изображения в карточке товара","chromium","Fri Jul 18 20:17:20 GMT 2025","passed","Fri Jul 18 20:17:24 GMT 2025","","ui/academybag.spec.js","",""
"","65","Проверка создания заметки с невалидным токеном авторизации","chromium","Fri Jul 18 20:17:20 GMT 2025","passed","Fri Jul 18 20:17:20 GMT 2025","Challenge","api/challenges.spec.js","",""
"","70","Проверка создания задачи с невалидным по длине title","chromium","Fri Jul 18 20:17:19 GMT 2025","passed","Fri Jul 18 20:17:19 GMT 2025","Challenge","api/challenges.spec.js","",""
"","78","Проверка создания задачи с несуществующим атрибутом","chromium","Fri Jul 18 20:17:19 GMT 2025","passed","Fri Jul 18 20:17:19 GMT 2025","Challenge","api/challenges.spec.js","",""
"","0","Баг с увеличением количества товара определенного цвета","chromium","Fri Jul 18 20:17:52 GMT 2025","skipped","Fri Jul 18 20:17:52 GMT 2025","","ui/academybag.spec.js","",""
"","84","Проверка создания задачи","chromium","Fri Jul 18 20:17:18 GMT 2025","passed","Fri Jul 18 20:17:19 GMT 2025","Challenge","api/challenges.spec.js","",""
"","70","Проверка обновления задачи без обязательного атрибута title","chromium","Fri Jul 18 20:17:19 GMT 2025","passed","Fri Jul 18 20:17:19 GMT 2025","Challenge","api/challenges.spec.js","",""
"","69","Проверка удаления несуществующей задачи по id","chromium","Fri Jul 18 20:17:20 GMT 2025","passed","Fri Jul 18 20:17:20 GMT 2025","Challenge","api/challenges.spec.js","",""
