"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Проверка создания задачи с несуществующим атрибутом","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","27","Проверка обращения к эндпоинту PATCH /heartbeat","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","28","Проверка создания задачи без атрибута title","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","53","Проверка создания заметки","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","4263","Баг с размером изображения в карточке товара","UI","Tue Jul 29 12:30:44 GMT 2025","passed","Tue Jul 29 12:30:48 GMT 2025","","ui/academybag.spec.js","",""
"","35","Проверка фильтрации по статусу выполнения задачи через query-параметры","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","26","Проверка создания заметки без токена авторизации","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","6029","Баг с фильтрацией по цене","UI","Tue Jul 29 12:31:20 GMT 2025","passed","Tue Jul 29 12:31:26 GMT 2025","","ui/academybag.spec.js","",""
"","32","Проверка создания задачи с невалидным по длине title","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","28","Проверка создания заметки с невалидным токеном авторизации","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:29 GMT 2025","Challenge","api/challenges.spec.js","",""
"","13541","Баг с отправкой комментария в карточке товара","UI","Tue Jul 29 12:31:03 GMT 2025","passed","Tue Jul 29 12:31:17 GMT 2025","","ui/academybag.spec.js","",""
"","26","Проверка аутентификации с невалидным логином/паролем","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","29","Проверка фильтрации по id через query-параметры","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","32","Проверка получения задачи по id","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","27","Проверка аутентификации с валидным логином/паролем","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","28","Проверка удаления задачи по id","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","29","Проверка создания задачи с невалидным по длине description","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","11752","Баг с изменением количества товаров на странице","UI","Tue Jul 29 12:30:51 GMT 2025","passed","Tue Jul 29 12:31:03 GMT 2025","","ui/academybag.spec.js","",""
"","33","Проверка создания задачи с телом, превышающим 5000 символов","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","1","Баг с увеличением количества товара определенного цвета","UI","Tue Jul 29 12:31:20 GMT 2025","skipped","Tue Jul 29 12:31:20 GMT 2025","","ui/academybag.spec.js","",""
"","38","Проверка, что ответе возвращается 10 задач","API","Tue Jul 29 12:31:27 GMT 2025","passed","Tue Jul 29 12:31:27 GMT 2025","Challenge","api/challenges.spec.js","",""
"","27","Проверка частичного обновления атрибута title в задаче","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","28","Проверка обновления задачи с несовпадающими id","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","28","Проверка создания задачи методом PUT","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","28","Проверка создания задачи с невалидным doneStatus","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","27","Проверка удаления несуществующей задачи по id","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","28","Проверка получения несуществующей задачи по id","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","28","Проверка обновления задачи без обязательного атрибута title","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","3874","Баг с некорректным описанием товара","UI","Tue Jul 29 12:31:17 GMT 2025","passed","Tue Jul 29 12:31:20 GMT 2025","","ui/academybag.spec.js","",""
"","32","Проверка создания задачи","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","31","Проверка запроса к некорректному эндпоинту","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","32","Проверка полного обновления задачи","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","46","Проверка создания задачи с максимально допустимыми title и description","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","34","Проверка требуемых атрибутов задачи в теле ответа","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","26","Проверка удаления задачи без указания id","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
"","27","Проверка обращения к несуществующему эндпоинту DELETE /heartbeat","API","Tue Jul 29 12:31:28 GMT 2025","passed","Tue Jul 29 12:31:28 GMT 2025","Challenge","api/challenges.spec.js","",""
